molecule_chembl_id,standard_units,standard_value,units,value
CHEMBL68920,nM,41.0,uM,0.041
CHEMBL69960,nM,170.0,uM,0.17
CHEMBL137635,nM,9300.0,uM,9.3
CHEMBL306988,nM,500000.0,uM,500.0
CHEMBL66879,nM,3000000.0,uM,3000.0
CHEMBL77085,nM,96000.0,uM,96.0
CHEMBL443268,nM,5310.0,uM,5.31
CHEMBL76979,nM,264000.0,uM,264.0
CHEMBL76589,nM,125.0,uM,0.125
CHEMBL76904,nM,35000.0,uM,35.0
CHEMBL1009,nM,900000.0,uM,900.0
CHEMBL304271,nM,0.45,uM,0.00045
CHEMBL296407,nM,10000.0,uM,10.0
CHEMBL309625,nM,60000.0,uM,60.0
CHEMBL77825,nM,600000.0,uM,600.0
CHEMBL421877,nM,850000.0,uM,850.0
CHEMBL310798,nM,3000.0,uM,3.0
CHEMBL135592,nM,8000.0,uM,8.0
CHEMBL309866,nM,1300000.0,uM,1300.0
CHEMBL77381,nM,1360000.0,uM,1360.0
CHEMBL76602,nM,165000.0,uM,165.0
CHEMBL77737,nM,250000.0,uM,250.0
CHEMBL308134,nM,125000.0,uM,125.0
CHEMBL136491,nM,14.0,uM,0.014
CHEMBL76557,nM,625000.0,uM,625.0
CHEMBL336113,nM,1000.0,uM,1.0
CHEMBL133024,nM,100.0,uM,0.1
CHEMBL344652,nM,13350.0,uM,13.35
CHEMBL77814,nM,350000.0,uM,350.0
CHEMBL47986,nM,14000.0,uM,14.0
CHEMBL138125,nM,238.0,uM,0.238
CHEMBL137364,nM,64.0,uM,0.064
CHEMBL308339,nM,1400000.0,uM,1400.0
CHEMBL78174,nM,430000.0,uM,430.0
CHEMBL302552,nM,22.0,uM,0.022
CHEMBL309598,nM,13500.0,uM,13.5
CHEMBL67057,nM,4.5,uM,0.0045
CHEMBL332096,nM,508.0,uM,0.508
CHEMBL77387,nM,450000.0,uM,450.0
CHEMBL432903,nM,200.0,uM,0.2
CHEMBL69964,nM,210.0,uM,0.21
CHEMBL65848,nM,1410.0,uM,1.41
CHEMBL78184,nM,833000.0,uM,833.0
CHEMBL76985,nM,47000.0,uM,47.0
CHEMBL145,nM,1200000.0,uM,1200.0
CHEMBL69629,nM,6.5,uM,0.0065
CHEMBL136492,nM,8400.0,uM,8.4
CHEMBL77197,nM,1100000.0,uM,1100.0
CHEMBL305695,nM,560000.0,uM,560.0
CHEMBL76587,nM,6500000.0,uM,6500.0
CHEMBL66570,nM,13.0,uM,0.013
CHEMBL308048,nM,800000.0,uM,800.0
