molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC5O,fp
CHEMBL68920,Cc1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,active,383.814,4.450340000000002,3.0,4.0,7.3872161432802645,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x78a6cc833ae0>
CHEMBL69960,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,active,482.9030000000001,3.614320000000001,3.0,6.0,6.769551078621726,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x78a6cc859540>
CHEMBL306988,CC(=C(C#N)C#N)c1ccc(NC(=O)CCC(=O)O)cc1,inactive,283.287,2.3105600000000006,2.0,4.0,3.3010299956639813,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x78a6cc859af0>
CHEMBL66879,O=C(O)/C=C/c1ccc(O)cc1,inactive,164.16,1.49,2.0,2.0,2.5228787452803374,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x78a6cc859a10>
CHEMBL77085,N#CC(C#N)=Cc1cc(O)ccc1[N+](=O)[O-],inactive,215.16799999999998,1.73096,1.0,5.0,4.017728766960431,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x78a6cc859e00>
CHEMBL76979,COc1cc(/C=C(\C#N)C(=O)O)cc(OC)c1O,inactive,249.22199999999998,1.40098,2.0,5.0,3.5783960731301687,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x78a6cc8591c0>
CHEMBL76589,N#CC(C#N)=C(N)/C(C#N)=C/c1ccc(O)cc1,active,236.234,1.55914,2.0,5.0,6.903089986991944,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x78a6cc85a030>
CHEMBL76904,N#CC(C#N)=Cc1ccc(O)c(O)c1,inactive,186.17,1.52836,2.0,4.0,4.455931955649724,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x78a6cc859690>
CHEMBL1009,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,inactive,197.18999999999997,0.052200000000000135,4.0,4.0,3.0457574905606752,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x78a6cc859620>
CHEMBL304271,CCN(CC)CC(O)CNC(=O)c1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,active,542.0150000000001,3.57442,5.0,7.0,9.346787486224656,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x78a6cc8599a0>
CHEMBL296407,N#C/C(=C\c1ccc(O)c(O)c1)C(N)=O,inactive,204.18499999999997,0.4900799999999999,3.0,4.0,5.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x78a6cc85a0a0>
CHEMBL309625,N#CC(C#N)=C(N)/C(C#N)=C/c1ccc(O)c([N+](=O)[O-])c1,inactive,281.231,1.4673399999999999,2.0,7.0,4.221848749616356,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x78a6cc859cb0>
CHEMBL77825,COc1ccc(NN=C(C#N)C#N)cc1,inactive,200.20100000000002,1.5102599999999997,1.0,5.0,3.221848749616356,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x78a6cc859fc0>
CHEMBL421877,COc1cc(C=C(C#N)C#N)cc(OC)c1O,inactive,230.22299999999998,1.83996,1.0,5.0,3.070581074285707,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x78a6cc85a260>
CHEMBL309866,N#C/C(=C\c1ccc([N+](=O)[O-])cc1)C(=O)O,inactive,218.16799999999998,1.5863800000000001,1.0,4.0,2.886056647693163,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x78a6cc85a340>
CHEMBL77381,N#C/C(=C/c1ccc[nH]1)C(=O)O,inactive,162.14799999999997,1.0062799999999998,2.0,2.0,2.8664610916297826,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x78a6cc859d20>
CHEMBL76602,N#C/C(=C\c1ccc(O)cc1)C(=O)O,inactive,189.17,1.3837799999999998,2.0,3.0,3.7825160557860937,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x78a6cc859a80>
CHEMBL77737,N#CC(C#N)=Cc1ccncc1,inactive,155.15999999999997,1.51216,0.0,3.0,3.6020599913279625,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x78a6cc859bd0>
CHEMBL308134,N#CC(C#N)=Cc1ccc(O)c([N+](=O)[O-])c1,inactive,215.16799999999998,1.7309600000000003,1.0,5.0,3.9030899869919438,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x78a6cc85a2d0>
CHEMBL136491,CN(C)/N=N/c1ccc2ncnc(Nc3cccc(Cl)c3)c2c1,active,326.791,4.587100000000003,1.0,5.0,7.853871964321762,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x78a6cc85a420>
CHEMBL76557,N#CCNC(=O)/C(C#N)=C/c1ccc(O)cc1,inactive,227.223,0.93896,2.0,4.0,3.2041199826559246,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x78a6cc85a110>
CHEMBL336113,Cc1cccc(Nc2ncnc3ccc(N)cc23)c1,active,250.30500000000004,3.2640200000000004,2.0,4.0,6.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x78a6cc859f50>
CHEMBL133024,C/N=N/Nc1ccc2ncnc(Nc3cccc(Cl)c3)c2c1,active,312.76400000000007,4.435700000000002,2.0,5.0,7.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x78a6cc859070>
CHEMBL344652,CN(C)/N=N/c1ccc2ncnc(N(C)c3ccccc3)c2c1,inactive,306.373,3.958000000000003,0.0,5.0,4.874518734299406,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x78a6cc85a570>
CHEMBL77814,N#CC(C#N)=CNc1ccc(O)cc1,inactive,185.186,1.7351599999999998,2.0,4.0,3.4559319556497243,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x78a6cc859150>
