molecule_chembl_id,standard_value,canonical_smiles,bioactivity_class
CHEMBL68920,41.0,Cc1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,active
CHEMBL69960,170.0,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,active
CHEMBL137635,9300.0,CN(c1ccccc1)c1ncnc2ccc(N/N=N/Cc3ccccn3)cc12,intermediate
CHEMBL306988,500000.0,CC(=C(C#N)C#N)c1ccc(NC(=O)CCC(=O)O)cc1,inactive
CHEMBL66879,3000000.0,O=C(O)/C=C/c1ccc(O)cc1,inactive
CHEMBL77085,96000.0,N#CC(C#N)=Cc1cc(O)ccc1[N+](=O)[O-],inactive
CHEMBL443268,5310.0,Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)N(C)c2ncnc(Nc3ccc(F)c(Cl)c3)c21,intermediate
CHEMBL76979,264000.0,COc1cc(/C=C(\C#N)C(=O)O)cc(OC)c1O,inactive
CHEMBL76589,125.0,N#CC(C#N)=C(N)/C(C#N)=C/c1ccc(O)cc1,active
CHEMBL76904,35000.0,N#CC(C#N)=Cc1ccc(O)c(O)c1,inactive
CHEMBL1009,900000.0,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,inactive
CHEMBL304271,0.45,CCN(CC)CC(O)CNC(=O)c1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,active
CHEMBL296407,10000.0,N#C/C(=C\c1ccc(O)c(O)c1)C(N)=O,inactive
CHEMBL309625,60000.0,N#CC(C#N)=C(N)/C(C#N)=C/c1ccc(O)c([N+](=O)[O-])c1,inactive
CHEMBL77825,600000.0,COc1ccc(NN=C(C#N)C#N)cc1,inactive
CHEMBL421877,850000.0,COc1cc(C=C(C#N)C#N)cc(OC)c1O,inactive
CHEMBL310798,3000.0,N#CC(C#N)=Cc1cc(O)c(O)c(O)c1,intermediate
CHEMBL135592,8000.0,C/N=N/Nc1ccc2ncnc(N(C)c3ccccc3)c2c1,intermediate
CHEMBL309866,1300000.0,N#C/C(=C\c1ccc([N+](=O)[O-])cc1)C(=O)O,inactive
CHEMBL77381,1360000.0,N#C/C(=C/c1ccc[nH]1)C(=O)O,inactive
CHEMBL76602,165000.0,N#C/C(=C\c1ccc(O)cc1)C(=O)O,inactive
CHEMBL77737,250000.0,N#CC(C#N)=Cc1ccncc1,inactive
CHEMBL308134,125000.0,N#CC(C#N)=Cc1ccc(O)c([N+](=O)[O-])c1,inactive
CHEMBL136491,14.0,CN(C)/N=N/c1ccc2ncnc(Nc3cccc(Cl)c3)c2c1,active
CHEMBL76557,625000.0,N#CCNC(=O)/C(C#N)=C/c1ccc(O)cc1,inactive
CHEMBL336113,1000.0,Cc1cccc(Nc2ncnc3ccc(N)cc23)c1,active
CHEMBL133024,100.0,C/N=N/Nc1ccc2ncnc(Nc3cccc(Cl)c3)c2c1,active
CHEMBL344652,13350.0,CN(C)/N=N/c1ccc2ncnc(N(C)c3ccccc3)c2c1,inactive
CHEMBL77814,350000.0,N#CC(C#N)=CNc1ccc(O)cc1,inactive
CHEMBL47986,14000.0,O=CN/C=C/c1cc(O)ccc1O,inactive
